Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-6-7
Year//Month,2018//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2018//5//8,128,04::57:59,19::17:13,12::07:16,10.755,19.151,6.018,3.1590000000000003,6.138,3.177,-,-,3.473,3.1590000000000003,5.744,3.1590000000000003,2.545,3.1590000000000003,22.335,5.331,54.198,3.016,0.7884791666666666,3.89,9.700000000000001,25.44,-,-,-0.009300000000000001,0.0086,0.,0.,-,-,0.,0.,-0.0221,0.037700000000000004,-
2018//5//9,129,04::56:49,19::18:17,12::07:13,10.796,19.187,6.9030000000000005,3.1590000000000003,7.199,3.177,-,-,4.172,3.1590000000000003,6.3660000000000005,3.1590000000000003,2.731,3.16,27.566,4.268,62.171,2.716,0.7476805555555556,3.02,11.99,22.5,-,-,-0.0073,0.0082,0.,0.,-,-,0.,0.,-0.0207,0.038700000000000005,-
2018//5//10,130,04::55:40,19::19:21,12::07:11,10.837,19.223,6.633,3.1590000000000003,6.761,3.177,-,-,2.938,3.1590000000000003,4.572,3.1590000000000003,3.6950000000000003,3.1590000000000003,26.057000000000002,4.295,59.553000000000004,2.759,1.3245972222222224,3.23,9.69,18.09,-,-,-0.0039000000000000003,0.005200000000000001,0.,0.,-,-,0.,0.,-0.0088,0.0234,-
2018//5//11,131,04::54:34,19::20:24,12::07:09,10.876,19.258,7.406000000000001,3.1590000000000003,7.46,3.177,-,-,4.188,3.1590000000000003,6.4030000000000005,3.1590000000000003,3.219,3.1590000000000003,28.298000000000002,4.154,62.949,2.826,1.2326250000000003,3.43,6.9,18.23,-,-,-0.005,0.0061,0.,0.,-,-,0.,0.,-0.010700000000000001,0.0253,-
2018//5//12,132,04::53:28,19::21:27,12::07:08,10.915000000000001,19.339,8.023,3.165,8.381,3.177,-,-,7.05,3.181,10.19,3.182,0.973,3.1750000000000003,33.422000000000004,3.323,75.383,2.6350000000000002,0.7472708333333334,3.5300000000000002,4.16,24.22,-,-,-0.0135,0.0148,0.,0.,-,-,0.,0.,-0.026600000000000002,0.0405,-
2018//5//13,133,04::52:24,19::22:29,12::07:08,10.953,19.375,8.237,3.165,8.536,3.216,-,-,7.231,3.165,11.124,3.164,1.006,3.164,32.774,3.573,74.121,2.601,0.6157500000000002,2.93,7.8,28.39,-,-,-0.0154,0.011600000000000001,0.,0.,-,-,0.,0.,-0.029900000000000003,0.0415,-
2018//5//14,134,04::51:21,19::23:32,12::07:08,10.99,19.411,8.421,3.1590000000000003,8.696,3.177,-,-,7.313,3.1590000000000003,11.103,3.1590000000000003,1.109,3.158,32.795,3.6950000000000003,73.618,2.71,0.5902152777777778,3.7800000000000002,10.040000000000001,31.560000000000002,-,-,-0.0053,0.006200000000000001,0.,0.,-,-,0.,0.,-0.0095,0.0219,-
2018//5//15,135,04::50:21,19::24:33,12::07:09,11.026,19.447,5.398,3.1590000000000003,5.5600000000000005,3.177,-,-,3.598,3.1590000000000003,5.516,3.1590000000000003,1.8,3.161,19.434,4.721,54.255,2.572,0.6472083333333335,4.8500000000000005,10.76,27.39,-,-,-0.0024000000000000002,0.0045000000000000005,0.,0.,-,-,0.,0.,-0.0057,0.0229,-
2018//5//16,136,04::49:22,19::25:34,12::07:10,11.061,19.483,2.267,3.16,2.166,3.177,-,-,0.,100,0.,100,2.267,3.161,4.1930000000000005,19.438,20.305,4.884,0.4341944444444446,2.19,12.5,15.5,-,-,-0.0009000000000000001,0.003,0.,0.,-,-,0.,0.,-0.0009000000000000001,0.003,-
2018//5//17,137,04::48:24,19::26:35,12::07:12,11.096,19.519000000000002,6.128,3.1590000000000003,6.147,3.177,-,-,2.994,3.1590000000000003,4.847,3.1590000000000003,3.134,3.16,22.694,4.974,50.977000000000004,2.852,0.6338750000000001,2.38,11.56,23.56,-,-,-0.0227,0.030100000000000002,0.,0.,-,-,0.,0.,-0.035300000000000005,0.055900000000000005,-
2018//5//18,138,04::47:29,19::27:34,12::07:14,11.129,19.556,8.134,3.184,8.386000000000001,3.177,-,-,6.906000000000001,3.176,10.111,3.244,1.228,3.1590000000000003,32.943,3.625,77.209,2.641,0.7001666666666667,3.4,8.06,25.94,-,-,-0.0207,0.015300000000000001,0.,0.,-,-,0.,0.,-0.0371,0.0434,-
2018//5//19,139,04::46:35,19::28:33,12::07:17,11.161,19.57,7.196,3.1590000000000003,7.375,3.177,-,-,4.7620000000000005,3.1590000000000003,6.801,3.1590000000000003,2.434,3.16,29.003,3.7960000000000003,70.82600000000001,2.571,0.6973125,3.06,7.86,25.060000000000002,-,-,-0.010100000000000001,0.0081,0.,0.,-,-,0.,0.,-0.0161,0.0264,-
2018//5//20,140,04::45:42,19::29:31,12::07:20,11.192,19.606,6.429,3.1590000000000003,6.392,3.177,-,-,3.029,3.1590000000000003,4.8420000000000005,3.1590000000000003,3.4010000000000002,3.1590000000000003,24.177,4.846,54.345,2.9090000000000003,0.8141527777777777,2.91,8.53,21.17,-,-,-0.008400000000000001,0.0078000000000000005,0.,0.,-,-,0.,0.,-0.0129,0.023200000000000002,-
2018//5//21,141,04::44:51,19::30:29,12::07:24,11.223,19.643,8.129,3.1590000000000003,8.365,3.177,-,-,6.924,3.1590000000000003,9.931000000000001,3.1590000000000003,1.205,3.1590000000000003,33.038000000000004,3.5060000000000002,74.473,2.6,0.6720208333333335,3.06,8.790000000000001,26.5,-,-,-0.0098,0.0128,0.,0.,-,-,0.,0.,-0.018600000000000002,0.0356,-
2018//5//22,142,04::44:03,19::31:26,12::07:29,11.252,19.658,8.459,3.1590000000000003,8.628,3.177,-,-,7.237,3.1590000000000003,10.615,3.1590000000000003,1.223,3.158,33.776,3.6270000000000002,75.735,2.6550000000000002,0.7520555555555557,3.16,9.120000000000001,30.5,-,-,-0.0102,0.0085,0.,0.,-,-,0.,0.,-0.0167,0.0275,-
2018//5//23,143,04::43:17,19::32:22,12::07:34,11.28,19.695,3.797,3.1590000000000003,3.749,3.177,-,-,0.875,3.161,1.326,3.1590000000000003,2.922,3.1590000000000003,10.751,8.562,35.064,3.267,0.465951388888889,6.25,14.280000000000001,28.,-,-,-0.0043,0.0058000000000000005,0.,0.,-,-,0.,0.,-0.0082,0.0216,-
2018//5//24,144,04::42:33,19::33:17,12::07:39,11.308,19.71,6.8,3.1590000000000003,6.996,3.177,-,-,4.436,3.1590000000000003,5.7330000000000005,3.1590000000000003,2.364,3.1590000000000003,26.701,3.958,66.074,2.664,0.6862916666666667,2.86,12.73,27.560000000000002,-,-,-0.0032,0.0051,0.,0.,-,-,0.,0.,-0.005200000000000001,0.0159,-
2018//5//25,145,04::41:49,19::34:12,12::07:45,11.334,19.747,1.187,3.1590000000000003,1.1260000000000001,3.178,-,-,0.,100,0.001,1.614,1.187,3.16,-1.576,-47.673,7.767,12.029,0.6831944444444444,2.7800000000000002,10.370000000000001,16.27,-,-,-0.0011,0.0031000000000000003,0.,0.,-,-,0.,0.,-0.0022,0.0114,-
2018//5//26,146,04::41:08,19::35:05,12::07:52,11.36,19.784,6.311,3.1590000000000003,6.354,3.177,-,-,3.1870000000000003,3.1590000000000003,4.191,3.1590000000000003,3.124,3.16,23.796,4.596,59.126000000000005,2.82,0.9407638888888887,2.7600000000000002,7.54,18.76,-,-,-0.0045000000000000005,0.0073,0.,0.,-,-,0.,0.,-0.0105,0.029300000000000003,-
2018//5//27,147,04::40:30,19::35:57,12::07:59,11.384,19.821,8.486,3.1590000000000003,8.556000000000001,3.177,-,-,7.508,3.1590000000000003,11.49,3.1590000000000003,0.978,3.1590000000000003,33.846000000000004,3.5,76.75,2.582,0.7151597222222223,3.16,4.93,25.330000000000002,-,-,-0.007500000000000001,0.009300000000000001,0.,0.,-,-,0.,0.,-0.0145,0.028900000000000002,-
2018//5//28,148,04::39:52,19::36:47,12::08:06,11.407,19.837,8.599,3.169,8.69,3.215,-,-,7.687,3.166,11.699,3.198,0.912,3.158,34.005,3.497,75.959,2.593,0.8408541666666666,3.3200000000000003,8.91,28.89,-,-,-0.010400000000000001,0.0102,0.,0.,-,-,0.,0.,-0.0274,0.043500000000000004,-
2018//5//29,149,04::39:18,19::37:37,12::08:14,11.43,19.875,7.609,3.1590000000000003,7.72,3.177,-,-,5.845,3.1590000000000003,8.175,3.1590000000000003,1.764,3.16,30.855,3.932,77.018,2.626,1.1228611111111113,3.71,8.65,22.78,-,-,-0.0058000000000000005,0.0067,0.,0.,-,-,0.,0.,-0.0146,0.033,-
2018//5//30,150,04::38:44,19::38:25,12::08:23,11.451,19.868000000000002,7.885,3.1590000000000003,7.9350000000000005,3.177,-,-,5.231,3.1590000000000003,7.212,3.1590000000000003,2.654,3.16,31.876,3.8770000000000002,76.522,2.599,1.260340277777778,3.29,9.67,19.830000000000002,-,-,-0.0031000000000000003,0.005,0.,0.,-,-,0.,0.,-0.0057,0.018000000000000002,-
2018//5//31,151,04::38:14,19::39:13,12::08:31,11.472,19.906,4.498,3.1590000000000003,4.436,3.177,-,-,1.025,3.1590000000000003,1.176,3.158,3.473,3.16,14.734,7.268,42.413000000000004,3.4450000000000003,0.850673611111111,3.11,8.35,16.36,-,-,-0.0014,0.0036000000000000003,0.,0.,-,-,0.,0.,-0.0031000000000000003,0.0142,-
2018//6//1,152,04::37:45,19::40:00,12::08:41,11.491,19.922,8.763,5.,8.753,3.177,-,-,7.875,10.,12.012,10.,0.889,29.986,34.558,3.4330000000000003,77.58,2.61,0.6688611111111111,2.95,8.120000000000001,24.89,-,-,-0.0038,0.006,0.,0.,-,-,0.,0.,-0.0082,0.022600000000000002,-
2018//6//2,153,04::37:18,19::40:44,12::08:50,11.509,19.96,8.64,5.,8.679,3.177,-,-,7.517,10.,11.18,10.,1.123,30.,33.371,3.6710000000000003,75.563,2.652,0.6129027777777779,2.75,7.9,30.72,-,-,-0.0046,0.006,0.,0.,-,-,0.,0.,-0.0094,0.023700000000000002,-
2018//6//3,154,04::36:53,19::41:27,12::09:00,11.527000000000001,19.955000000000002,8.111,5.,8.109,3.177,-,-,6.5280000000000005,10.,9.699,10.,1.583,29.997,31.046,3.79,72.52,2.613,0.9842708333333333,3.74,11.33,29.44,-,-,-0.0033,0.0055000000000000005,0.,0.,-,-,0.,0.,-0.0068000000000000005,0.0199,-
2018//6//4,155,04::36:31,19::42:10,12::09:10,11.543000000000001,19.971,8.541,5.,8.5,3.177,-,-,7.135,10.,10.845,10.,1.4060000000000001,29.996000000000002,33.545,3.581,75.578,2.597,0.953048611111111,3.37,8.31,23.72,-,-,-0.0017000000000000001,0.0038,0.,0.,-,-,0.,0.,-0.005200000000000001,0.0199,-
2018//6//5,156,04::36:10,19::42:51,12::09:21,11.558,20.01,7.896,5.,7.95,3.177,-,-,5.178,10.,7.1450000000000005,10.,2.719,29.995,30.487000000000002,4.045,74.386,2.67,0.740263888888889,2.98,6.95,24.11,-,-,-0.004,0.0057,0.,0.,-,-,0.,0.,-0.0074,0.02,-
2018//6//6,157,04::35:51,19::43:29,12::09:32,11.572000000000001,20.005,8.33,5.,8.355,3.177,-,-,6.324,10.001,9.061,10.,2.0060000000000002,30.001,32.235,3.831,74.08,2.669,0.8178680555555555,3.02,9.55,26.78,-,-,-0.0043,0.0055000000000000005,0.,0.,-,-,0.,0.,-0.0083,0.0222,-
2018//6//7,158,04::35:36,19::44:08,12::09:43,11.586,20.021,8.373,5.,8.374,3.177,-,-,6.62,10.,9.619,10.,1.7530000000000001,30.,32.544000000000004,3.754,74.612,2.644,0.8017916666666666,3.36,9.89,26.11,-,-,-0.0059,0.006900000000000001,0.,0.,-,-,0.,0.,-0.0122,0.0269,-
2018//6//8,159,04::35:21,19::44:44,12::09:55,11.598,20.061,6.619,5.,6.579,3.177,-,-,4.019,10.001,5.901,10.,2.599,30.003,24.21,4.789,61.986000000000004,2.749,0.9512569444444444,3.45,7.67,25.72,-,-,-0.0039000000000000003,0.006200000000000001,0.,0.,-,-,0.,0.,-0.0078000000000000005,0.0216,-
2018//6//9,160,04::35:08,19::45:18,12::10:06,11.609,20.056,4.601,5.,4.586,3.177,-,-,2.027,9.998,2.475,9.999,2.575,29.997,15.732000000000001,6.346,44.265,3.278,0.9700625,4.49,7.640000000000001,15.13,-,-,-0.001,0.003,0.,0.,-,-,0.,0.,-0.0016,0.0088,-
2018//6//10,161,04::34:58,19::45:51,12::10:18,11.619,20.073,7.751,5.,7.589,3.177,-,-,4.034,9.999,5.988,9.999,3.718,29.996000000000002,29.557000000000002,4.2540000000000004,67.139,2.72,0.6104027777777777,2.64,4.04,19.11,-,-,-0.006200000000000001,0.0081,0.,0.,-,-,0.,0.,-0.0111,0.0245,-
2018//6//11,162,04::34:50,19::46:22,12::10:30,11.628,20.069,8.84,5.,8.841,3.177,-,-,7.541,10.,10.818,10.,1.299,30.002,34.876,3.503,77.926,2.6,0.6443194444444446,2.67,10.71,25.11,-,-,-0.016,0.0128,0.,0.,-,-,0.,0.,-0.0308,0.043000000000000003,-
2018//6//12,163,04::34:44,19::46:52,12::10:43,11.636000000000001,20.087,8.771,5.,8.705,3.177,-,-,7.865,10.,11.915000000000001,10.,0.906,30.012,33.753,3.6,75.584,2.618,0.8345972222222223,3.4,9.05,30.61,-,-,-0.006500000000000001,0.0067,0.,0.,-,-,0.,0.,-0.0092,0.0187,-
2018//6//13,164,04::34:41,19::47:20,12::10:55,11.643,20.083000000000002,8.703,5.,8.637,3.177,-,-,7.79,10.035,11.664,10.027000000000001,0.913,30.081,33.678,3.5500000000000003,73.70700000000001,2.66,1.0665902777777778,4.0600000000000005,10.43,27.39,-,-,-0.0045000000000000005,0.0059,0.,0.,-,-,0.,0.,-0.0059,0.0145,-
2018//6//14,165,04::34:39,19::47:46,12::11:08,11.649000000000001,20.101,8.638,5.,8.577,3.177,-,-,6.588,10.,9.508000000000001,10.,2.05,30.002,33.639,3.676,78.379,2.59,1.1318333333333335,3.16,11.540000000000001,24.830000000000002,-,-,-0.0027,0.0048000000000000004,0.,0.,-,-,0.,0.,-0.0055000000000000005,0.0187,-
2018//6//15,166,04::34:39,19::48:10,12::11:21,11.654,20.097,8.882,5.,8.762,3.177,-,-,7.652,10.,11.235,10.,1.23,29.998,34.668,3.498,78.,2.613,1.0025902777777778,3.2800000000000002,7.07,23.39,-,-,-0.005200000000000001,0.0056,0.,0.,-,-,0.,0.,-0.013000000000000001,0.031,-
2018//6//16,167,04::34:41,19::48:31,12::11:34,11.657,20.116,7.929,5.,7.885,3.177,-,-,6.0760000000000005,10.,8.301,10.,1.853,30.007,30.839000000000002,3.974,71.482,2.795,0.8534166666666664,3.4,5.84,22.72,-,-,-0.0053,0.0066,0.,0.,-,-,0.,0.,-0.0129,0.029500000000000002,-
2018//6//17,168,04::34:46,19::48:53,12::11:47,11.66,20.112000000000002,6.589,5.,6.436,3.177,-,-,3.928,10.,6.222,9.999,2.661,30.005,23.401,4.937,57.952,2.795,0.724701388888889,4.2,8.46,25.94,-,-,-0.0058000000000000005,0.0061,0.,0.,-,-,0.,0.,-0.014100000000000001,0.0302,-
2018//6//18,169,04::34:52,19::49:11,12::12:00,11.662,20.109,7.715,5.,7.6770000000000005,3.177,-,-,5.2,10.,7.824,10.001,2.516,29.994,29.429000000000002,4.079,69.024,2.649,0.5355902777777779,2.88,8.66,29.61,-,-,-0.0058000000000000005,0.0078000000000000005,0.,0.,-,-,0.,0.,-0.013800000000000002,0.030600000000000002,-
2018//6//19,170,04::35:00,19::49:27,12::12:13,11.663,20.106,8.657,5.,8.662,3.177,-,-,7.408,10.,11.071,10.,1.249,29.992,32.399,3.761,74.306,2.632,0.5450277777777778,2.44,11.68,33.44,-,-,-0.012100000000000001,0.0098,0.,0.,-,-,0.,0.,-0.029300000000000003,0.0436,-
2018//6//20,171,04::35:11,19::49:42,12::12:26,11.662,20.125,6.682,5.,6.641,3.177,-,-,4.758,10.,7.154,9.999,1.924,30.005,24.056,5.1160000000000005,60.744,3.0180000000000002,0.6161597222222224,3.59,14.21,32.,-,-,-0.008400000000000001,0.0082,0.,0.,-,-,0.,0.,-0.0212,0.039,-
2018//6//21,172,04::35:24,19::49:55,12::12:39,11.661,20.123,8.578,5.069,8.536,3.177,-,-,7.316,10.11,10.796,10.423,1.262,29.997,32.695,3.677,74.988,2.605,0.6523541666666668,3.38,11.93,30.61,-,-,-0.011000000000000001,0.0089,0.,0.,-,-,0.,0.,-0.019700000000000002,0.030500000000000003,-
2018//6//22,173,04::35:38,19::50:06,12::12:52,11.658,20.098,8.703,5.,8.621,3.177,-,-,7.246,10.,11.086,10.,1.457,30.002,33.158,3.646,74.229,2.599,0.9062083333333334,3.36,12.17,29.72,-,-,-0.0212,0.0162,0.,0.,-,-,0.,0.,-0.0414,0.0541,-
2018//6//23,174,04::35:53,19::50:14,12::13:05,11.655,20.096,8.896,5.,8.792,3.177,-,-,8.145,10.,12.397,10.,0.751,30.002,34.165,3.49,76.366,2.583,0.8864236111111111,3.21,10.13,29.72,-,-,-0.0195,0.0126,0.,0.,-,-,0.,0.,-0.0379,0.0451,-
2018//6//24,175,04::36:11,19::50:20,12::13:18,11.65,20.094,8.784,5.,8.721,3.177,-,-,7.987,10.,12.143,10.,0.797,30.014,32.723,3.649,72.375,2.604,0.8946666666666665,3.72,11.66,36.,-,-,-0.0161,0.013900000000000001,0.,0.,-,-,0.,0.,-0.031100000000000003,0.0439,-
2018//6//25,176,04::36:32,19::50:24,12::13:31,11.645,20.07,8.886000000000001,5.0120000000000005,8.773,3.177,-,-,7.968,10.023,12.185,10.025,0.918,29.999000000000002,34.466,3.489,77.153,2.571,1.1047638888888889,3.66,11.28,26.560000000000002,-,-,-0.0286,0.029,0.,0.,-,-,0.,0.,-0.0492,0.0565,-
2018//6//26,177,04::36:53,19::50:26,12::13:43,11.638,20.068,8.895,5.037,8.788,3.192,-,-,8.089,10.075000000000001,12.348,10.063,0.806,30.084,33.466,3.597,75.447,2.588,0.7979444444444445,3.29,8.58,29.22,-,-,-0.026600000000000002,0.0267,0.,0.,-,-,0.,0.,-0.0553,0.0669,-
2018//6//27,178,04::37:17,19::50:26,12::13:56,11.63,20.067,8.568,5.,8.568,3.177,-,-,7.54,10.,10.737,10.,1.028,29.993000000000002,33.045,3.697,76.663,2.645,1.0520277777777778,3.69,10.21,28.22,-,-,-0.0251,0.018600000000000002,0.,0.,-,-,0.,0.,-0.0463,0.0545,-
2018//6//28,179,04::37:42,19::50:25,12::14:08,11.622,20.044,8.853,5.,8.773,3.177,-,-,7.986,10.001,11.969,10.,0.867,29.998,33.917,3.5300000000000002,76.997,2.579,1.0890069444444441,3.54,9.89,25.39,-,-,-0.0251,0.023200000000000002,0.,0.,-,-,0.,0.,-0.0472,0.056900000000000006,-
2018//6//29,180,04::38:09,19::50:21,12::14:20,11.612,20.043,8.912,5.,8.84,3.177,-,-,8.124,10.,12.370000000000001,10.,0.788,29.984,33.525,3.552,75.217,2.59,0.85575,3.3000000000000003,9.99,28.94,-,-,-0.0364,0.028,0.,0.,-,-,0.,0.,-0.0702,0.0663,-
2018//6//30,181,04::38:38,19::50:15,12::14:32,11.601,20.02,8.956,5.,8.889,3.177,-,-,8.199,10.,12.523,10.,0.758,29.991,33.361000000000004,3.584,73.938,2.612,0.7914652777777778,3.5100000000000002,11.76,32.22,-,-,-0.0371,0.0206,0.,0.,-,-,0.,0.,-0.0718,0.0584,-
2018//7//1,182,04::39:07,19::50:07,12::14:44,11.589,20.019000000000002,8.886000000000001,5.,8.823,3.177,-,-,8.157,10.,12.471,10.,0.729,30.01,33.304,3.561,74.021,2.589,0.9124444444444444,3.5300000000000002,12.16,31.060000000000002,-,-,-0.0219,0.012700000000000001,0.,0.,-,-,0.,0.,-0.038900000000000004,0.041,-
2018//7//2,183,04::39:40,19::49:56,12::14:55,11.577,19.996,9.078,5.007,9.02,3.1870000000000003,-,-,8.343,10.015,12.781,10.013,0.734,30.048000000000002,34.168,3.507,77.177,2.585,1.1636414176511467,3.64,10.870000000000001,26.44,-,-,-0.0148,0.013300000000000001,0.,0.,-,-,0.,0.,-0.029500000000000002,0.0434,newsitefile_(Element:1000._Instrument:RSP(PY35563_GHI)_Responsivity:9.83216)_(Element:2010._Instrument:RSP(PY35563_DNI)_Responsivity:9.83216)_(Element:3000._Instrument:RSP(PY35563_DHI)_Responsivity:9.83216)_(Element:1160._Instrument:LICOR(PY22981)_Responsivity:9.58626)
2018//7//3,184,04::40:13,19::49:43,12::15:06,11.563,19.996,8.891,5.,9.036,3.177,-,-,7.912,9.999,11.292,10.,0.98,29.991,33.931,3.63,77.348,2.67,0.8233472222222221,2.92,7.69,28.44,-,-,-0.0188,0.025,0.,0.,-,-,0.,0.,-0.0395,0.054700000000000006,-
2018//7//4,185,04::40:48,19::49:28,12::15:17,11.548,19.952,6.656000000000001,5.,6.699,3.177,-,-,3.848,10.,5.372,10.001,2.8080000000000003,30.003,23.834,4.957,60.94,2.883,0.6650972222222225,3.31,11.97,29.39,-,-,-0.0173,0.0135,0.,0.,-,-,0.,0.,-0.0339,0.0426,-
2018//7//5,186,04::41:25,19::49:12,12::15:27,11.532,19.952,7.3790000000000004,5.,7.573,3.177,-,-,5.617,9.999,7.666,10.,1.762,30.008,27.313,4.18,69.08200000000001,2.649,0.7983541666666667,2.77,10.31,31.28,-,-,-0.013600000000000001,0.014400000000000001,0.,0.,-,-,0.,0.,-0.0281,0.043500000000000004,-
2018//7//6,187,04::42:02,19::48:53,12::15:37,11.515,19.93,7.815,5.,7.894,3.177,-,-,5.216,9.999,7.88,9.999,2.599,30.001,27.949,4.163,62.491,2.71,0.7908958333333332,3.5100000000000002,12.24,29.89,-,-,-0.0253,0.0216,0.,0.,-,-,0.,0.,-0.055200000000000006,0.0568,-
2018//7//7,188,04::42:42,19::48:31,12::15:47,11.498000000000001,19.909,8.307,5.,8.331,3.177,-,-,6.397,10.,10.25,10.,1.9100000000000001,29.999000000000002,29.841,3.9570000000000003,68.29,2.637,0.7811041666666668,2.66,9.86,29.72,-,-,-0.031,0.023,0.,0.,-,-,0.,0.,-0.056900000000000006,0.057600000000000005,-
2018//7//8,189,04::43:23,19::48:09,12::15:56,11.479000000000001,19.887,8.409,5.,8.534,3.177,-,-,6.809,10.,10.337,10.,1.6,30.008,30.828,3.952,69.262,2.692,0.680402777777778,2.93,10.44,31.28,-,-,-0.0324,0.0317,0.,0.,-,-,0.,0.,-0.0509,0.053500000000000006,-
2018//7//9,190,04::44:04,19::47:43,12::16:05,11.459,19.866,8.695,5.,8.782,3.177,-,-,7.7540000000000004,10.,11.891,10.,0.9410000000000001,29.993000000000002,32.326,3.668,72.119,2.606,1.0272777777777775,3.34,13.120000000000001,30.830000000000002,-,-,-0.040100000000000004,0.0292,0.,0.,-,-,0.,0.,-0.0695,0.0658,-
2018//7//10,191,04::44:48,19::47:16,12::16:13,11.438,19.823,8.75,5.,8.82,3.221,-,-,7.992,10.,12.245000000000001,10.,0.759,29.994,32.778,3.613,73.546,2.595,0.9220000000000002,3.3200000000000003,12.42,30.39,-,-,-0.0187,0.0145,0.,0.,-,-,0.,0.,-0.0461,0.054200000000000005,-
2018//7//11,192,04::45:33,19::46:46,12::16:21,11.416,19.802,8.607,5.,8.692,3.177,-,-,7.776,10.001,11.834,10.,0.8310000000000001,30.,31.754,3.719,71.371,2.619,0.7700555555555556,3.04,12.51,33.89,-,-,-0.0184,0.018500000000000003,0.,0.,-,-,0.,0.,-0.0398,0.0494,-
2018//7//12,193,04::46:18,19::46:15,12::16:29,11.394,19.782,8.533,5.,8.644,3.177,-,-,7.647,10.,11.621,10.,0.886,29.995,31.,3.809,68.646,2.641,0.7226736111111112,3.11,15.,38.44,-,-,-0.0064,0.009300000000000001,0.,0.,-,-,0.,0.,-0.0125,0.029300000000000003,-
2018//7//13,194,04::47:05,19::45:41,12::16:36,11.370000000000001,19.761,7.4190000000000005,5.,7.547000000000001,3.177,-,-,4.769,10.,6.808,10.,2.65,30.004,26.483,4.657,63.105000000000004,2.81,0.7116041666666667,3.3200000000000003,17.89,37.22,-,-,-0.0001,0.001,0.,0.,-,-,0.,0.,-0.0001,0.001,-
2018//7//14,195,04::47:53,19::45:06,12::16:42,11.345,19.719,7.8580000000000005,5.,8.037,3.177,-,-,6.5120000000000005,10.,9.456,10.,1.347,29.991,28.141000000000002,4.202,62.199,2.779,0.6138472222222222,3.08,19.77,38.5,-,-,-0.0063,0.0114,0.,0.,-,-,0.,0.,-0.0142,0.0339,-
2018//7//15,196,04::48:42,19::44:27,12::16:49,11.32,19.677,5.773,5.,5.737,3.177,-,-,3.225,10.,5.194,10.,2.548,29.997,-,-,44.730000000000004,3.335,0.4974236111111112,4.39,17.29,34.44,-,-,-0.0039000000000000003,0.0076,0.,0.,-,-,0.,0.,-0.0129,0.0344,-
2018//7//16,197,04::49:33,19::43:48,12::16:54,11.293000000000001,19.657,6.904,5.,7.081,3.177,-,-,4.985,10.,7.5520000000000005,10.,1.919,30.004,-,-,61.719,2.761,0.6203680555555556,4.11,17.91,37.78,-,-,-0.0078000000000000005,0.0188,0.,0.,-,-,0.,0.,-0.0188,0.0419,-
2018//7//17,198,04::50:23,19::43:07,12::16:59,11.266,19.637,7.889,5.,8.054,3.177,-,-,5.992,10.,9.057,10.,1.897,30.006,-,-,68.743,2.666,0.7589583333333334,3.0100000000000002,17.71,37.5,-,-,-0.0067,0.010700000000000001,0.,0.,-,-,0.,0.,-0.0172,0.0396,-
2018//7//18,199,04::51:15,19::42:23,12::17:04,11.237,19.596,8.132,5.,8.304,3.177,-,-,6.259,9.999,9.194,10.,1.873,30.,-,-,70.39,2.682,0.7678541666666668,2.93,14.280000000000001,34.72,-,-,-0.0083,0.0098,0.,0.,-,-,0.,0.,-0.0198,0.0366,-
