YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2016//4//1,92,05::47:16,18::39:23,12::12:52,8.069,17.475,5.767,2.956,-,-,-,-,-,-,9.620000000000001,23.92,-4.5182,0.1776,-0.1622,0.3184,-
2016//4//2,93,05::45:16,18::40:48,12::12:34,8.146,17.556,4.372,3.568,-,-,-,-,-,-,8.8,19.25,-4.1687,0.2957,0.026500000000000003,0.2318,-
2016//4//3,94,05::43:16,18::42:14,12::12:17,8.222,17.613,5.155,3.173,-,-,-,-,-,-,8.22,23.06,-4.7264,1.2485000000000002,-0.1197,0.4985,-
2016//4//4,95,05::41:16,18::43:38,12::12:00,8.298,17.694,4.819,3.267,-,-,-,-,-,-,8.97,17.31,-4.1808000000000005,0.8504,0.1752,0.31930000000000003,-
2016//4//5,96,05::39:17,18::45:04,12::11:42,8.373,17.751,2.922,4.1530000000000005,-,-,-,-,-,-,8.040000000000001,14.370000000000001,-3.3397,0.7316,-0.0439,0.3435,-
2016//4//6,97,05::37:19,18::46:28,12::11:26,8.448,17.831,5.93,2.992,-,-,-,-,-,-,7.72,22.86,-4.1887,0.4984,-0.0016,0.26330000000000003,-
2016//4//7,98,05::35:20,18::47:54,12::11:09,8.523,17.889,6.183,2.9170000000000003,-,-,-,-,-,-,10.540000000000001,26.830000000000002,-4.5200000000000005,0.219,-0.0219,0.26230000000000003,-
2016//4//8,99,05::33:23,18::49:19,12::10:52,8.597,17.946,5.863,3.017,-,-,-,-,-,-,11.700000000000001,24.71,-4.4446,0.326,-0.0307,0.2842,-
2016//4//9,100,05::31:25,18::50:43,12::10:36,8.67,18.026,6.259,2.955,-,-,-,-,-,-,9.4,21.45,-4.6528,0.3266,-0.10110000000000001,0.2501,-
2016//4//10,101,05::29:29,18::52:09,12::10:20,8.743,18.083000000000002,4.172,3.394,-,-,-,-,-,-,9.31,17.35,-3.9693,0.6844,-0.0364,0.14170000000000002,-
2016//4//11,102,05::27:33,18::53:33,12::10:05,8.815,18.14,2.489,4.636,-,-,-,-,-,-,9.71,15.84,-3.4823,0.38770000000000004,-0.0227,0.2439,-
2016//4//12,103,05::25:36,18::54:59,12::09:49,8.887,18.197,2.464,5.245,-,-,-,-,-,-,7.72,14.98,-3.8249,0.4363,-0.0459,0.14070000000000002,-
2016//4//13,104,05::23:41,18::56:23,12::09:34,8.958,18.255,4.047,3.418,-,-,-,-,-,-,7.7700000000000005,16.02,-3.5456000000000003,0.9818,-0.0083,0.4675,-
2016//4//14,105,05::21:47,18::57:48,12::09:19,9.028,18.334,5.664,3.176,-,-,-,-,-,-,7.04,17.14,-4.4801,1.3296000000000001,0.4037,0.46280000000000004,-
