Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),-,-,-,-,Assorted Daily Values (Rows 12 - 42)
1980.1715619307834,63.791666666666664,1980-03-03--19:00:00,98.22564000000001,269.27569,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1716757741349,63.83333333333333,1980-03-03--20:00:00,108.64047000000001,280.2846,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1717896174864,63.875,1980-03-03--21:00:00,118.65684000000002,292.37479,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1719034608382,63.916666666666664,1980-03-03--22:00:00,127.74737,306.54635,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1720173041897,63.95833333333333,1980-03-03--23:00:00,135.11027,323.9096,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1721311475412,64.,1980-03-03--24:00:00,139.62765000000002,344.98121000000003,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1722449908928,64.04166666666666,1980-03-04--01:00:00,140.23582000000002,8.22207,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1723588342443,64.08333333333333,1980-03-04--02:00:00,136.75929000000002,30.198240000000002,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1724726775958,64.125,1980-03-04--03:00:00,130.08831,48.63888000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1725865209473,64.16666666666666,1980-03-04--04:00:00,121.39105,63.617070000000005,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1727003642989,64.20833333333333,1980-03-04--05:00:00,111.56500000000001,76.18678000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
