"Day of month","Day of year","Time Sunrise (HH::MM:SS)","Time Sunset (HH::MM:SS)","Time Solar Noon (HH::MM:SS)","Daily Total Energy ETR (kW h/m^2)","Daily Total Energy ETRn (kW h/m^2)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Minimum daily value","Maximum daily value","Average Nighttime Value","Standard Deviation Nighttime","Average Nighttime Value","Standard Deviation Nighttime","Assorted Daily Values (Rows 12 - 42)"
1980.3307339101398,122.0486111111111,"1980-05-01--01:10:00",116.78468000000001,19.876360000000002,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,6.82,11,-0.63,11,-0.1,11,"-"
1980.3307433970858,122.05208333333333,"1980-05-01--01:15:00",116.47798000000002,21.181910000000002,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,6.74,11,-0.63,11,-0.1,11,"-"
1980.3307528840317,122.05555555555554,"1980-05-01--01:20:00",116.15283000000001,22.4783,0,0.,-0.5,12,-0.15,72,-0.15,12,-0.5,72,6.82,11,-0.63,11,0.3,11,"-"
1980.3307623709777,122.05902777777777,"1980-05-01--01:25:00",115.80952,23.76516,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,6.91,11,-0.63,11,-0.1,11,"-"
1980.3307718579238,122.0625,"1980-05-01--01:30:00",115.44837000000001,25.042160000000003,0,0.,-0.98,12,-0.55,72,-0.55,12,-0.98,72,6.82,11,-1.11,11,-0.1,11,"-"
1980.3307813448696,122.06597222222221,"1980-05-01--01:35:00",115.06968,26.309,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,6.5600000000000005,11,-0.63,11,-0.1,11,"-"
1980.3307908318156,122.06944444444444,"1980-05-01--01:40:00",114.67378000000001,27.565410000000004,0,0.,-0.5,12,-0.15,72,-0.15,12,-0.5,72,6.47,11,-0.63,11,0.3,11,"-"
1980.3308003187615,122.07291666666666,"1980-05-01--01:45:00",114.26101000000001,28.81116,0,0.,0.44,12,-0.55,72,-0.55,12,0.44,72,6.65,11,0.31,11,-0.1,11,"-"
1980.3308098057075,122.07638888888889,"1980-05-01--01:50:00",113.83170000000001,30.046060000000004,0,0.,-0.03,12,-0.55,72,-0.55,12,-0.03,72,6.5600000000000005,11,-0.16,11,-0.1,11,"-"
1980.3308192926536,122.0798611111111,"1980-05-01--01:55:00",113.38619000000001,31.269920000000003,0,0.,-0.98,12,-1.36,72,-1.36,12,-0.98,72,6.390000000000001,11,-1.11,11,-0.91,11,"-"
1980.3308287795994,122.08333333333333,"1980-05-01--02:00:00",112.92484,32.48263,0,0.,-0.98,12,-1.36,72,-1.36,12,-0.98,72,6.12,11,-1.11,11,-0.91,11,"-"
1980.3308382665455,122.08680555555554,"1980-05-01--02:05:00",112.44798000000002,33.684050000000006,0,0.,-0.98,12,-0.15,72,-0.15,12,-0.98,72,6.21,11,-1.11,11,0.3,11,"-"
1980.3308477534913,122.09027777777777,"1980-05-01--02:10:00",111.95598000000001,34.87413,0,0.,-0.5,12,-0.55,72,-0.55,12,-0.5,72,6.12,11,-0.63,11,-0.1,11,"-"
1980.3308572404374,122.09375,"1980-05-01--02:15:00",111.44918000000001,36.052800000000005,0,0.,-0.5,12,-0.15,72,-0.15,12,-0.5,72,6.390000000000001,11,-0.63,11,0.3,11,"-"
1980.3308667273834,122.09722222222221,"1980-05-01--02:20:00",110.92794,37.22005,0,0.,-0.03,12,0.25,72,0.25,12,-0.03,72,6.390000000000001,11,-0.16,11,0.7000000000000001,11,"-"
1980.3308762143292,122.10069444444444,"1980-05-01--02:25:00",110.39261,38.37586,0,0.,-0.5,12,-0.15,72,-0.15,12,-0.5,72,6.47,11,-0.63,11,0.3,11,"-"
1980.3308857012753,122.10416666666666,"1980-05-01--02:30:00",109.84355000000001,39.52028000000001,0,0.,-0.5,12,-0.15,72,-0.15,12,-0.5,72,6.390000000000001,11,-0.63,11,0.3,11,"-"
1980.3308951882211,122.10763888888889,"1980-05-01--02:35:00",109.28109,40.65334,0,0.,-0.98,12,-0.96,72,-0.96,12,-0.98,72,6.21,11,-1.11,11,-0.51,11,"-"
1980.3309046751672,122.1111111111111,"1980-05-01--02:40:00",108.7056,41.77512,0,0.,-0.98,12,-0.96,72,-0.96,12,-0.98,72,5.95,11,-1.11,11,-0.51,11,"-"
1980.330914162113,122.11458333333333,"1980-05-01--02:45:00",108.1174,42.88571,0,0.,-0.5,12,-1.36,72,-1.36,12,-0.5,72,5.7700000000000005,11,-0.63,11,-0.91,11,"-"
1980.330923649059,122.11805555555554,"1980-05-01--02:50:00",107.51685,43.98523,0,0.,-1.44,12,-1.36,72,-1.36,12,-1.44,72,5.51,11,-1.57,11,-0.91,11,"-"
1980.3309331360051,122.12152777777777,"1980-05-01--02:55:00",106.90428000000001,45.07379,0,0.,-0.98,12,-1.36,72,-1.36,12,-0.98,72,5.42,11,-1.11,11,-0.91,11,"-"
1980.330942622951,122.125,"1980-05-01--03:00:00",106.28002000000001,46.15155,0,0.,-0.98,12,-0.96,72,-0.96,12,-0.98,72,5.42,11,-1.11,11,-0.51,11,"-"
