Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1980.667483,245.2986111,1980-09-01--07:10:00,71.91209,97.0725,414.78,1335.95,236.47,12,162.32,72,522.81,12,74.15,72,17.03,11,237.73,11,525.35,11,-
1980.667492,245.3020833,1980-09-01--07:15:00,71.05148,98.00826,433.81,1335.95,241.17,12,173.29,72,533.67,12,67.88,72,17.32,11,242.43,11,536.21,11,-
1980.667502,245.3055556,1980-09-01--07:20:00,70.19267,98.9509,452.7,1335.96,240.71,12,180.02,72,531.26,12,60.69,72,17.71,11,241.97,11,533.8,11,-
1980.667511,245.3090278,1980-09-01--07:25:00,69.33594,99.90096,471.44,1335.96,277.92,12,224.53,72,636.27,12,53.39,72,18,11,279.18,11,638.81,11,-
1980.66752,245.3125,1980-09-01--07:30:00,68.48155,100.85895,490.03,1335.96,291.1,12,241.21,72,657.6,12,49.89,72,18.59,11,292.36,11,660.14,11,-
1980.66753,245.3159722,1980-09-01--07:35:00,67.62979,101.82544,508.45,1335.96,333.03,12,282.13,72,741.29,12,50.9,72,18.69,11,334.29,11,743.83,11,-
1980.667539,245.3194444,1980-09-01--07:40:00,66.78094,102.80096,526.7,1335.96,354.23,12,298.11,72,756.16,12,56.12,72,19.08,11,355.49,11,758.7,11,-
1980.667549,245.3229167,1980-09-01--07:45:00,65.93529,103.7861,544.76,1335.97,369.77,12,312.11,72,765.42,12,57.66,72,19.47,11,371.03,11,767.96,11,-
1980.667558,245.3263889,1980-09-01--07:50:00,65.09314,104.78144,562.64,1335.97,383.91,12,324.22,72,769.85,12,59.69,72,19.57,11,385.17,11,772.39,11,-
1980.667568,245.3298611,1980-09-01--07:55:00,64.25479,105.78757,580.31,1335.97,401.33,12,337.89,72,777.89,12,63.44,72,19.37,11,402.59,11,780.43,11,-
1980.667577,245.3333333,1980-09-01--08:00:00,63.42055,106.80509,597.77,1335.97,416.88,12,352.2,72,787.15,12,64.68,72,19.47,11,418.14,11,789.69,11,-
