Station_ID_Number:,94040,-,-.1,-.2,-.3,Type_of_Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station_Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station_Location:,Ashland_Oregon_USA,-,-,-,-,Instrument_Serial_Number:,RSP(PY35965_GHI),LICOR(PY35962),RSP(PY35965_DNI),RSP(PY35965_DNI),RSP(PY35965_DHI),PV5kw,PV15kw,WS,TEMP
Latitude_(+North):,42.19441,-,-,-,-,Instrument_Shorthand_Name:,RSP,GHI_TILT,-,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude_(+East):,-122.698158,-,-,-,-,Responsivity:,10.328600000000002,9.439430000000002,-,10.328600000000002,10.328600000000002,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude_(m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated_Uncertainty_(U95%):,3.137,9.332,3.137,3.137,3.137,1.999,2.191,4.383,2.2
Time_Zone_(+East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample_Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2005//01,-,-,-,-,Column_Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2005//05,1400,1500,38.0,243.0,1051.158,1336.293,527.0,0.0,283.38,355.91,243.62,2044.59,4994.04,1.09,0.0
2005//05,1500,1600,48.0,257.0,884.997,1336.27,402.54,0.0,196.19,292.37,206.36,1405.33,3791.01,0.98,0.0
2005//05,1600,1700,59.0,268.0,678.641,1336.248,276.28,0.0,138.01,265.88,138.27,816.67,1880.74,0.8,0.0
2005//05,1700,1800,70.0,278.0,446.321,1336.223,168.38,0.0,78.87,225.57,89.52,183.95,793.98,0.75,0.0
2005//05,1800,1900,80.0,288.0,204.803,1336.199,62.45,0.0,22.1,119.92,40.35,-204.95,141.38,0.58,0.0
2005//05,1900,2000,87.0,297.0,19.169,541.617,5.44,0.0,0.5,7.78,4.94,-259.42,0.16,0.47,0.0
2005//05,2000,2100,100.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262.23,0.0,0.42,0.0
2005//05,2100,2200,108.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262.85,0.0,0.3,0.0
2005//05,2200,2300,114.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-261.19,0.0,0.19,0.0
2005//05,2300,2400,118.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.66,0.0,0.22,0.0
2005//06,0,100,115.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.88,0.0,0.31,0.0
2005//06,100,200,112.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.93,0.0,0.28,0.0
2005//06,200,300,108.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.53,0.0,0.22,0.0
2005//06,300,400,101.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-257.99,0.0,0.21,0.0
2005//06,400,500,88.0,56.0,14.206,471.603,3.7,0.0,0.01,1.69,3.68,-257.8,0.0,0.26,0.0
2005//06,500,600,81.0,66.0,189.526,1324.028,68.96,0.0,25.73,162.5,43.23,-181.64,151.5,0.25,0.0
2005//06,600,700,71.0,75.0,422.485,1324.017,188.34,0.0,86.98,267.0,101.36,302.12,1641.46,0.41,0.0
2005//06,700,800,60.0,84.0,651.616,1324.007,329.54,0.0,180.99,365.95,148.56,1268.65,4151.31,0.5,0.0
2005//06,800,900,49.0,94.0,860.385,1323.998,479.76,0.0,290.33,445.63,189.42,2296.4,6797.99,0.75,0.0
2005//06,900,1000,39.0,106.0,1034.412,1323.989,661.76,0.0,430.13,550.22,231.62,3379.64,9652.26,0.87,0.0
2005//06,1000,1100,29.0,123.0,1161.793,1323.979,799.12,0.0,549.17,625.25,249.95,4104.02,11471.58,1.01,0.0
2005//06,1100,1200,21.0,151.0,1233.829,1323.97,839.82,0.0,585.68,628.82,254.14,4280.64,11786.57,1.21,0.0
2005//06,1200,1300,20.0,191.0,1245.612,1323.96,871.13,0.0,637.72,677.89,233.41,4406.29,12047.37,1.31,0.0
2005//06,1300,1400,25.0,226.0,1196.34,1323.951,826.65,0.0,587.49,650.11,239.16,4174.36,11532.61,1.46,0.0
2005//06,1400,1500,35.0,247.0,1089.376,1323.94,700.36,0.0,471.35,572.19,229.0,3476.03,9763.95,1.32,0.0
2005//06,1500,1600,45.0,261.0,932.027,1323.931,576.26,0.0,380.81,539.03,195.45,2748.85,7435.09,1.17,0.0
2005//06,1600,1700,56.0,271.0,735.051,1323.922,388.93,0.0,233.49,417.34,155.44,1612.73,3775.57,1.05,0.0
2005//06,1700,1800,67.0,281.0,511.968,1323.911,242.99,0.0,132.76,340.51,110.23,610.4,1658.7,0.92,0.0
2005//06,1800,1900,77.0,290.0,278.398,1323.902,111.88,0.0,55.86,250.96,56.02,-90.1,317.01,0.81,0.0
2005//06,1900,2000,85.0,299.0,60.596,1029.577,17.27,0.0,4.03,44.37,13.23,-257.59,0.93,0.77,0.0
