Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY35962),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw,PV15kw,WS,TEMP
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GHI_TILT,,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.792900000000001,9.439430000000002,,9.792900000000001,9.792900000000001,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,3.1590000000000003,9.332,3.1590000000000003,3.1590000000000003,3.1590000000000003,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2002//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
2002//04,0,100,128.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.47,0.0,0.09,7.25
2002//04,100,200,125.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.59,0.0,0.07,6.54
2002//04,200,300,119.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.03,0.0,0.05,5.98
2002//04,300,400,111.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.84,0.0,0.07,5.66
2002//04,400,500,102.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.78,0.0,0.08,5.22
2002//04,500,600,87.0,75.0,32.307,607.264,8.3,7.05,1.11,10.74,7.18,-246.83,9.91,0.09,5.07
2002//04,600,700,79.0,85.0,240.704,1357.279,86.19,80.08,35.15,176.03,51.04,-109.77,668.64,0.09,5.96
2002//04,700,800,69.0,95.0,491.143,1357.246,229.7,229.91,116.17,317.39,113.54,735.79,3056.73,0.21,7.85
2002//04,800,900,58.0,107.0,719.823,1357.214,396.16,414.48,228.94,430.46,167.22,2079.46,6213.33,0.42,9.59
2002//04,900,1000,48.0,120.0,910.35,1357.183,530.11,569.79,315.19,471.6,214.91,2961.44,8527.79,0.56,10.93
2002//04,1000,1100,39.0,137.0,1049.631,1357.15,623.71,679.58,389.73,507.22,233.97,3517.67,9890.48,0.79,12.48
2002//04,1100,1200,34.0,160.0,1128.149,1357.117,688.12,750.87,446.03,539.21,242.1,3864.96,10694.84,0.98,13.77
2002//04,1200,1300,33.0,188.0,1140.561,1357.086,672.73,731.12,423.76,506.34,248.97,3709.7,10285.62,1.08,14.82
2002//04,1300,1400,37.0,213.0,1086.047,1357.054,649.02,704.77,407.34,510.03,241.68,3589.06,9995.93,1.02,15.61
2002//04,1400,1500,44.0,233.0,968.352,1357.022,569.15,617.58,363.48,509.49,205.67,3089.64,8733.78,1.03,16.27
2002//04,1500,1600,54.0,248.0,795.551,1356.991,435.87,462.83,273.8,468.28,162.07,2233.67,6009.33,0.92,16.66
2002//04,1600,1700,65.0,260.0,579.528,1356.957,276.77,280.37,165.29,386.81,111.48,1150.99,2463.4,0.87,16.34
2002//04,1700,1800,75.0,270.0,335.368,1356.925,133.41,122.75,69.31,268.9,64.09,186.82,663.48,0.67,15.62
2002//04,1800,1900,84.0,280.0,89.422,1133.579,22.7,16.77,4.32,29.99,18.38,-240.99,15.34,0.51,14.01
2002//04,1900,2000,96.0,290.0,0.13,18.714,0.23,0.16,0.0,0.0,0.23,-256.55,0.0,0.5,12.51
2002//04,2000,2100,107.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-259.15,0.0,0.37,11.21
2002//04,2100,2200,116.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.73,0.0,0.21,9.89
2002//04,2200,2300,123.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-255.44,0.0,0.19,8.93
2002//04,2300,2400,127.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.67,0.0,0.13,8.01
2002//05,0,100,119.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.78,0.0,0.12,9.02
2002//05,100,200,116.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.23,0.0,0.09,8.34
2002//05,200,300,111.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.93,0.0,0.11,7.77
2002//05,300,400,103.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.3,0.0,0.1,7.34
2002//05,400,500,91.0,59.0,3.739,178.018,1.39,1.32,0.0,0.32,1.38,-250.02,0.0,0.1,6.87
2002//05,500,600,83.0,69.0,142.87,1305.823,47.24,32.47,14.17,97.62,33.07,-210.05,110.24,0.12,7.24
2002//05,600,700,73.0,79.0,383.656,1336.481,204.8,168.49,110.27,373.69,94.53,310.93,1859.33,0.19,9.27
2002//05,700,800,62.0,88.0,620.473,1336.458,365.16,346.63,213.84,457.57,151.32,1526.16,4848.31,0.41,11.05
2002//05,800,900,51.0,99.0,835.172,1336.435,525.3,529.48,321.03,511.61,204.27,2689.75,7786.4,0.63,12.58
2002//05,900,1000,41.0,112.0,1012.914,1336.412,677.74,704.2,464.88,613.76,212.86,3639.08,10264.67,0.84,14.13
